Fecha,M0,INPC,Desocupacion
Ene 2005,286316544,58.3091603733014,4.67986878
Feb 2005,279564329,58.5034309913156,5.15554993
Mar 2005,275825983,58.7671209768338,4.90431545
Abr 2005,276956036,58.9764151893082,4.26701316
May 2005,278112056,58.8282514646358,4.70697067
Jun 2005,280510573,58.771783471666,4.51415148
Jul 2005,283356436,59.0017998833952,5.28748572
Ago 2005,274817999,59.0722553608615,5.0849302
Sep 2005,282416255,59.3090064873482,4.66533076
Oct 2005,285617810,59.4545799371139,4.24638504
Nov 2005,290467976,59.8824933517271,3.99630261
Dic 2005,336170628,60.2503123885007,3.52755395
Ene 2006,318762821,60.6036258857962,4.46923879
Feb 2006,312887900,60.6963577274618,4.92921001
Mar 2006,318737434,60.7725118097234,4.23984438
Abr 2006,318947484,60.8616172665192,4.13020655
May 2006,322761792,60.5906745112619,3.88681254
Jun 2006,332476522,60.6429980643804,4.57958703
Jul 2006,332395949,60.8092937134007,5.45095816
Ago 2006,323379951,61.1196086472422,4.78962568
Sep 2006,330006931,61.7366121300559,5.13276297
Oct 2006,328102761,62.0065187753508,4.68396862
Nov 2006,347457341,62.3318573036518,4.5395289
Dic 2006,389598029,62.6924235706863,3.99518062
Ene 2007,366845132,63.0162079340435,5.11586734
Feb 2007,359467149,63.1923466277105,5.1622074
Mar 2007,367419599,63.3291131427925,4.99333147
Abr 2007,360112644,63.2912951291521,4.57796781
May 2007,360167573,62.9825343602545,4.33418131
Jun 2007,366333029,63.0581703875346,4.51183401
Jul 2007,366909452,63.3260048129042,4.96282384
Ago 2007,368110488,63.5839961936272,4.81248799
Sep 2007,367457373,64.0777025908746,5.12980879
Oct 2007,365066599,64.3274050918955,4.84649218
Nov 2007,382476563,64.7812212555773,4.33879823
Dic 2007,430083620,65.0490556809461,4.06638131
Ene 2008,406075812,65.350563680104,5.00206832
Feb 2008,403489359,65.5448342981189,5.06880264
Mar 2008,398026815,66.0198907160361,4.46439975
Abr 2008,393177182,66.1701266606339,4.24922984
May 2008,399704282,66.0986350732053,4.09808046
Jun 2008,395564315,66.3721681033693,4.36487454
Jul 2008,403587145,66.7420593600682,5.29586939
Ago 2008,404530203,67.1274922662089,5.14687269
Sep 2008,403667261,67.5849348147597,4.99356335
Oct 2008,423986290,68.0454856931997,4.93771732
Nov 2008,436139450,68.8189417803872,5.38761187
Dic 2008,494399534,69.295552363249,5.05830893
Ene 2009,479743440,69.4561494074742,6.13723965
Feb 2009,475298869,69.6094936819603,6.35149945
Mar 2009,471496895,70.0099501825605,5.7272081
Abr 2009,470557461,70.2549901887493,6.65685901
May 2009,473941376,70.0503584711078,6.78005397
Jun 2009,468396002,70.1793541614693,6.3533904
Jul 2009,474788346,70.3705164495951,7.38138591
Ago 2009,464985981,70.5388843185408,7.48821346
Sep 2009,460350868,70.8927158708178,7.90757974
Oct 2009,468448920,71.107190633106,6.93091872
Nov 2009,478583046,71.4760457798425,6.15098173
Dic 2009,537069644,71.7718551742052,5.38177381
Ene 2010,519797852,72.5520459761509,7.03821072
Feb 2010,513298379,72.9716705110621,6.4070728
Mar 2010,516810593,73.4897254924342,5.76549487
Abr 2010,508810761,73.2555646408536,6.46258588
May 2010,517618588,72.7939776524521,5.99092827
Jun 2010,514962395,72.7711832332712,6.64557732
Jul 2010,526257565,72.9291900025896,6.77011803
Ago 2010,519025347,73.1317495003058,6.07646522
Sep 2010,514314915,73.5151101865211,6.63437979
Oct 2010,523176969,73.9689263502028,6.38157083
Nov 2010,531966106,74.5615812488919,6.22768433
Dic 2010,599362681,74.93095445061,5.86735242
Ene 2011,575666016,75.2959913456337,6.24152066
Feb 2011,569068927,75.578460244005,6.15974963
Mar 2011,560130419,75.7234509285414,5.45378772
Abr 2011,564190627,75.7174409519803,5.44751067
May 2011,564056150,75.1592643788689,6.04047621
Jun 2011,561603251,75.1555081435182,6.31683268
Jul 2011,568484963,75.5161067371837,6.54470924
Ago 2011,561433239,75.6355550213354,6.51808931
Sep 2011,568945825,75.8211130476591,5.96787861
Oct 2011,575962572,76.332712302422,5.81366555
Nov 2011,588952430,77.1583328325019,5.96525036
Dic 2011,665915596,77.7923853596971,4.89201614
Ene 2012,639626906,78.3430494621071,5.57564174
Feb 2012,635028142,78.502313840976,6.30191864
Mar 2012,643192126,78.5473886651842,5.38161889
Abr 2012,646876330,78.3009796261795,5.75829404
May 2012,656986584,78.0538193401046,5.91128272
Jun 2012,669880702,78.4136666866999,5.72594415
Jul 2012,661268206,78.8538974697999,5.93006528
Ago 2012,658456317,79.0905402968928,6.32226431
Sep 2012,647998869,79.4391189374361,5.62011687
Oct 2012,650045637,79.8410361199591,5.90111614
Nov 2012,669945485,80.3834365045976,5.82623956
Dic 2012,734034321,80.5682432838512,5.22181611
Ene 2013,696560096,80.8927820181501,6.39038699
Feb 2013,687189949,81.2909429653224,5.6784665
Mar 2013,692131980,81.8874331390108,5.25544682
Abr 2013,679452220,81.9415229280606,6.36449272
May 2013,689215061,81.6688202416011,5.51042944
Jun 2013,687263911,81.619237934972,5.79076235
Jul 2013,680769077,81.5921930404471,5.95677596
Ago 2013,684018092,81.8243283851193,5.89912347
Sep 2013,682251505,82.1323396838752,5.88685009
Oct 2013,688587330,82.5229881603462,5.66900921
Nov 2013,711950286,83.2922651601659,5.02887165
Dic 2013,792927722,83.7700582967726,5.20229192
Ene 2014,770238861,84.5190516256987,6.52059911
Feb 2014,772440833,84.7331570406876,5.76267971
Mar 2014,767608086,84.9652923853597,5.59414944
Abr 2014,769370458,84.8067792535609,6.38368224
May 2014,777919614,84.5355790612417,5.89112524
Jun 2014,783654167,84.6820722399183,5.90041342
Jul 2014,783854412,84.9149588316606,6.81931073
Ago 2014,788461563,85.2199651421359,6.27288977
Sep 2014,789318408,85.5963399242743,5.78337389
Oct 2014,812392128,86.0696255784602,5.86669441
Nov 2014,830188745,86.7637778712663,5.21860169
Dic 2014,928777228,87.1889837129635,4.35446542
Ene 2015,910841168,87.1101027705992,5.23025643
Feb 2015,918155476,87.2753771260292,5.31131972
Mar 2015,932669095,87.6307169902037,4.60884365
Abr 2015,933900682,87.4038403750225,5.10203761
May 2015,943827390,86.9673658272733,5.51744668
Jun 2015,947431434,87.1131077588797,5.06513093
Jul 2015,962065161,87.2408197608029,5.42305649
Ago 2015,965677941,87.4248752929864,5.47337885
Sep 2015,957755063,87.7524190155658,5.38359155
Oct 2015,976231372,88.2039185047178,5.39483121
Nov 2015,994864535,88.6854678766753,4.37634166
Dic 2015,1088106264,89.0468177174109,4.8918062
Ene 2016,1068646523,89.3863813931126,4.79265692
Feb 2016,1072447664,89.7777811166536,4.85115704
Mar 2016,1065852235,89.9100006009976,4.32868677
Abr 2016,1078973001,89.6252779614159,4.51984326
May 2016,1096797578,89.2256145201034,5.10515735
Jun 2016,1106216380,89.3240278862912,4.57907768
Jul 2016,1117501774,89.5569144780335,4.59021278
